,industry_code_ANZSIC,industry_name_ANZSIC,variable,value,unit
672,8,18,2,1037,1
673,8,18,6,4404,1
674,8,18,1,2785,1
675,8,18,0,3716,0
676,8,18,3,4460,0
677,8,18,4,2758,1
678,8,18,5,432,1
679,8,18,8,469,1
680,8,18,7,389,1
681,8,18,2,4177,1
682,8,18,6,51,1
683,8,18,1,3816,1
684,8,18,0,2351,0
685,8,18,3,4921,0
686,8,18,4,3296,1
687,8,18,5,1019,1
688,8,18,8,1055,1
689,8,18,7,823,1
690,8,18,2,923,1
691,8,18,6,1596,1
692,8,18,1,390,1
693,8,18,0,290,0
694,8,18,3,5077,0
695,8,18,4,3569,1
696,8,18,5,1338,1
697,8,18,8,1382,1
698,8,18,7,1281,1
699,8,18,2,5723,1
700,8,18,6,2136,1
701,8,18,1,746,1
702,8,18,0,4398,0
703,8,18,3,5221,0
704,8,18,4,3723,1
705,8,18,5,1568,1
706,8,18,8,1631,1
707,8,18,7,1373,1
708,8,18,2,1667,1
709,8,18,6,2576,1
710,8,18,1,1899,1
711,8,18,0,4121,0
712,8,18,3,3253,0
713,8,18,4,2158,1
714,8,18,5,5694,1
715,8,18,8,81,1
716,8,18,7,5649,1
717,8,18,2,28,1
718,8,18,6,2673,1
719,8,18,1,2000,1
720,8,18,0,958,0
